25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:34:48.027 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:40:29.010 - INFO: 0001 00059 diff=0.030359, exp_diff=0.029854, Loss_Reg=0.030359, Lambda=0.06666666666666667, Loss_Rev=0.270183, Loss_All=0.300543, Time=5.4563
25-08-05 14:40:36.605 - INFO: 0001 00060 diff=0.029201, exp_diff=0.028919, Loss_Reg=0.029201, Lambda=0.06666666666666667, Loss_Rev=0.261109, Loss_All=0.290310, Time=7.5937
25-08-05 14:40:42.094 - INFO: 0001 00061 diff=0.050193, exp_diff=0.049724, Loss_Reg=0.050193, Lambda=0.06666666666666667, Loss_Rev=0.448902, Loss_All=0.499094, Time=5.4889
25-08-05 14:40:47.586 - INFO: 0001 00062 diff=0.023674, exp_diff=0.023236, Loss_Reg=0.023674, Lambda=0.06666666666666667, Loss_Rev=0.210416, Loss_All=0.234090, Time=5.4914
25-08-05 14:40:53.062 - INFO: 0001 00063 diff=0.026861, exp_diff=0.025944, Loss_Reg=0.026861, Lambda=0.06666666666666667, Loss_Rev=0.236210, Loss_All=0.263071, Time=5.4752
25-08-05 14:40:58.511 - INFO: 0001 00064 diff=0.026323, exp_diff=0.025392, Loss_Reg=0.026323, Lambda=0.06666666666666667, Loss_Rev=0.231272, Loss_All=0.257595, Time=5.4478
25-08-05 14:41:03.980 - INFO: 0001 00065 diff=0.026461, exp_diff=0.026033, Loss_Reg=0.026461, Lambda=0.06666666666666667, Loss_Rev=0.235562, Loss_All=0.262024, Time=5.4686
25-08-05 14:41:09.428 - INFO: 0001 00066 diff=0.020976, exp_diff=0.020673, Loss_Reg=0.020976, Lambda=0.06666666666666667, Loss_Rev=0.186955, Loss_All=0.207931, Time=5.4466
25-08-05 14:41:14.878 - INFO: 0001 00067 diff=0.025075, exp_diff=0.024701, Loss_Reg=0.025075, Lambda=0.06666666666666667, Loss_Rev=0.223414, Loss_All=0.248489, Time=5.4499
25-08-05 14:41:20.336 - INFO: 0001 00068 diff=0.027188, exp_diff=0.026496, Loss_Reg=0.027188, Lambda=0.06666666666666667, Loss_Rev=0.240513, Loss_All=0.267700, Time=5.4567
25-08-05 14:41:25.788 - INFO: 0001 00069 diff=0.035403, exp_diff=0.034379, Loss_Reg=0.035403, Lambda=0.06666666666666667, Loss_Rev=0.312444, Loss_All=0.347847, Time=5.4515
25-08-05 14:41:33.326 - INFO: 0001 00070 diff=0.022877, exp_diff=0.022358, Loss_Reg=0.022877, Lambda=0.06666666666666667, Loss_Rev=0.202760, Loss_All=0.225637, Time=7.5379
25-08-05 14:41:38.741 - INFO: 0001 00071 diff=0.020373, exp_diff=0.019736, Loss_Reg=0.020373, Lambda=0.06666666666666667, Loss_Rev=0.179503, Loss_All=0.199876, Time=5.4136
25-08-05 14:41:44.190 - INFO: 0001 00072 diff=0.019179, exp_diff=0.018719, Loss_Reg=0.019179, Lambda=0.06666666666666667, Loss_Rev=0.169829, Loss_All=0.189008, Time=5.4486
25-08-05 14:41:49.663 - INFO: 0001 00073 diff=0.023789, exp_diff=0.023199, Loss_Reg=0.023789, Lambda=0.06666666666666667, Loss_Rev=0.210538, Loss_All=0.234327, Time=5.4729
